Timestamp,Are you located in Israel at the moment?,What's you gender?,What's your age?,Which of the following describe best your company's industry?,What's your company's estimated ARR?,How many employees does your company has?,What's the company business model?,What's the company stage?,What's your title?,How many years do you work in your current company?,What's your seniority? ,"In addition to Product Marketing, what kind of experince do you have?",How many years of experience do you have in product marketing? ,"How many years of experience do you have in other positions except product marketing (such as marketing, products, sale, etc.) ",Which department are you part of: ,How many people does your product marketing team has?,How many product do you support as a team?,What are your main responsibilities? ,Which of the following teams do you collaborate with most frequently?,"What is your current gross salary? Please use a 5-digit number and numbers only (e.g., 35000)","Estimated total value of all compensation in addition to base salary, such as options, equity, ESPP, bonuses?",Additional workplace benefits not included in base salary,Do you feel your salary reflects your experience and role?,Do you feel the Product Marketing role is well understood and clearly defined across your organization?,Anything else you would like to add?,Which if the following AI tools you use in a daily/weekly basis? ,Which topics would you like to become better at (using AI tools)? ,Do you use AI for automation? ,"If yes, please elaborate:","Thank your your honesty and great collaboration!
Anything else you would like to add?"
12/25/2025 14:49:23,Yes,Female,35-39,Fintech,$1B–$2B,"1,001 - 5,000",B2C,Public company,Senior Product Marketing Manager,1,2-3 role as product marketing,Marketing,1-3,6+,Marketing,2-4,3,"Product positioning and messaging, Managing product launches, Customer and market research, Customer marketing, Reporting on product marketing success","Product, Marketing, Business Managment ",27500,"50,000$","קורסים והכשרות, חדר כושר / Freefit",9,Clear for some,,"Chat GPT, Gemeni","Learn how to automate repetitive tasks, Discover AI tools for better customer insights, Speed up content creation for launches, messaging, and campaigns, Analyze data faster and reach better insights using AI tools",No,,
12/25/2025 14:52:55,Yes,Female,40-44,Cyber,Up to $10M,51 - 200,B2B,Early post-product market fit,Senior Product Marketing Manager,1.5,"Senior leadership (Director, VP, C-level)","Marketing, Sales",6+,6+,Product,1,2,"Product positioning and messaging, Managing product launches, Customer and market research, Customer marketing, Creating sales collateral, Content marketing, Storytelling, GTM","Product, Marketing, Sales, Customer Success",37000,45000,"תקציב למשרד בבית, קורסים והכשרות, טלפון, חדר כושר / Freefit, תן ביס",4,Clear for some,,"Chat GPT, Canva","Learn how to automate repetitive tasks, Discover AI tools for better customer insights",No,,
12/25/2025 20:18:28,Yes,Female,40-44,Aviation,Don't Know,51 - 200,B2B,Mid-growth with established go-to-market team,Senior Product Marketing Manager,3,2-3 role as product marketing,"Marketing, Sales",6+,4-5,Marketing,2-4,4,"Product positioning and messaging, Managing product launches, Customer and market research, Upsell acceleration, Creating sales collateral, Product roadmap planning, Storytelling, Reporting on product marketing success","Product, Sales, Customer Success, Sales enablement, Business Development, R&D",33000,1200,טלפון,6,Clear for everyone,,"Chat GPT, Gemeni, Canva, Perplexity, Notebook LM","Discover AI tools for better customer insights, Speed up content creation for launches, messaging, and campaigns, Improve collaboration with product, growth, and sales using shared AI workflows, Analyze data faster and reach better insights using AI tools",Yes,,
12/28/2025 18:14:01,Yes,Male,40-44,Computer & Network Security,$50M–$100M,"501 - 1,000",B2B,Mid-growth with established go-to-market team,Senior Product Marketing Manager,2,2-3 role as product marketing,"Sales, Data Analysis, Vendor",6+,6+,Marketing,5-7,5+,"Product positioning and messaging, Customer marketing, Creating sales collateral, Storytelling","Product, Marketing, Sales, Customer Success, Sales enablement, Business Development",43000,45000,"תקציב למשרד בבית, חל״ד לגברים, קורסים והכשרות, Wellness",4,Clear for some,,"Claude, Chat GPT, Gemeni, Perplexity, Notebook LM","Learn how to automate repetitive tasks, Discover AI tools for better customer insights, Speed up content creation for launches, messaging, and campaigns, Improve collaboration with product, growth, and sales using shared AI workflows, Analyze data faster and reach better insights using AI tools",Yes,Agents for marketing,
12/28/2025 22:51:07,Yes,Female,30-34,Hospitality,$10M–$50M,51 - 200,B2B,Early post-product market fit,Senior Product Marketing Manager,3.5,2-3 role as product marketing,Marketing,4-5,6+,Marketing,1,3,"Product positioning and messaging, Managing product launches, Customer marketing, Creating sales collateral, Storytelling, Reporting on product marketing success","Product, Marketing, Sales, Customer Success, Business Development",30000,30000,,7,Clear for some,,"Chat GPT, Gemeni, Notebook LM","Learn how to automate repetitive tasks, Discover AI tools for better customer insights, Speed up content creation for launches, messaging, and campaigns, Improve collaboration with product, growth, and sales using shared AI workflows, Analyze data faster and reach better insights using AI tools",No,,
1/6/2026 16:27:19,Yes,Male,35-39,Information Technology & Services,$1B–$2B,"1,001 - 5,000",B2B,Public company,Senior Product Marketing Manager,1.5,2-3 role as product marketing,"Marketing, Design / UX",6+,1-3,Marketing,11+,5+,"Product positioning and messaging, Managing product launches, Customer and market research, Customer marketing, Creating sales collateral, Website management","Product, Sales, Sales enablement",32000,70000,"תקציב למשרד בבית, חל״ד לגברים, חדר כושר / Freefit, קייטרינג",4,Clear for some,,"Chat GPT, Gemeni, Make","Discover AI tools for better customer insights, Speed up content creation for launches, messaging, and campaigns, Improve collaboration with product, growth, and sales using shared AI workflows, Analyze data faster and reach better insights using AI tools",No,,
1/6/2026 16:45:22,Yes,Male,40-44,Fintech,Up to $10M,11 - 50,B2C,Early post-product market fit,Senior Product Marketing Manager,1,"Mid-level management (lead, team lead)",Marketing,6+,6+,Product,1,1,"Product positioning and messaging, Managing product launches, Customer and market research, Onboarding customers, Product roadmap planning","Product, Marketing, Customer Success, R&D",33000,Na,חדר כושר / Freefit,8,Clear for everyone,,"Claude, Chat GPT, Notion AI","Learn how to automate repetitive tasks, Improve collaboration with product, growth, and sales using shared AI workflows",No,,
1/6/2026 16:52:11,Yes,Male,35-39,I'm on a career break! Replying to the following questions based on the most recent one,$100M–$250M,201 - 500,B2C,Mid-growth with established go-to-market team,Senior Product Marketing Manager,1.5,2-3 role as product marketing,"Marketing, Data Analysis",4-5,1-3,Marketing,2-4,2,"Product positioning and messaging, Managing product launches, Upsell acceleration, Website management, Customers retention (PLG & SLG support), Product roadmap planning","Product, Marketing, R&D",37000,37000,"קורסים והכשרות, חדר כושר / Freefit",7,Clear for everyone,,"Chat GPT, Gemeni, Canva, Perplexity, Notebook LM","Learn how to automate repetitive tasks, Speed up content creation for launches, messaging, and campaigns, Analyze data faster and reach better insights using AI tools",Yes,"For well-structured tasks I build gpts or gems that knows the exact questions I always ask. For example: a table with basic info about a competitor, broken down to value prop, target audience, user reviews etc",❤️ 
1/7/2026 12:44:51,Yes,Female,35-39,Hospitality,$500M–$1B,"501 - 1,000",B2B,Late growth/scale up,Senior Product Marketing Manager,10 months,"Mid-level management (lead, team lead)","Marketing, Product",6+,6+,Marketing,5-7,5+,"Product positioning and messaging, Managing product launches, Upsell acceleration, Creating sales collateral, Website management, Customers retention (PLG & SLG support), Storytelling, Reporting on product marketing success","Product, Marketing, Sales, Customer Success, Sales enablement, Business Development",31000,35000,חדר כושר / Freefit,8,Clear for some,,"Claude, Chat GPT, Gemeni, Notion AI, Canva, Make, Notebook LM","Learn how to automate repetitive tasks, Speed up content creation for launches, messaging, and campaigns, Analyze data faster and reach better insights using AI tools",No,,
1/7/2026 16:17:36,Yes,Male,35-39,Market Research,$50M–$100M,"1,001 - 5,000",B2B,Public company,Senior Product Marketing Manager,1,2-3 role as product marketing,Marketing,4-5,6+,Marketing,8-10,5+,"Product positioning and messaging, Customer and market research, Upsell acceleration, Website management, Storytelling","Product, Marketing, Sales, Customer Success, Sales enablement",37500,20000,"חדר כושר / Freefit, קייטרינג",3,Clear for a few,,"Chat GPT, Gemeni, Notebook LM","Learn how to automate repetitive tasks, Speed up content creation for launches, messaging, and campaigns, Improve collaboration with product, growth, and sales using shared AI workflows, Analyze data faster and reach better insights using AI tools",No,,
1/8/2026 18:16:17,Yes,Female,35-39,Fintech,$100M–$250M,"1,001 - 5,000",B2B,Public company,Senior Product Marketing Manager,1.5,"Mid-level management (lead, team lead)","Marketing, Product",4-5,4-5,Marketing,8-10,5+,"Product positioning and messaging, Managing product launches, Customer and market research, Customer marketing, Creating sales collateral, Content marketing, Website management, Customers retention (PLG & SLG support), Product roadmap planning, Storytelling, Reporting on product marketing success","Product, Marketing, Sales, Business Development",30000,20000,חדר כושר / Freefit,7,Not clear at all,,"Claude, Perplexity, Notebook LM","Learn how to automate repetitive tasks, Discover AI tools for better customer insights, Speed up content creation for launches, messaging, and campaigns, Improve collaboration with product, growth, and sales using shared AI workflows, Analyze data faster and reach better insights using AI tools",No,,
12/21/2025 15:14:43,Yes,Male,45-54,Computer & Network Security,Up to $10M,11 - 50,B2E,Mid-growth with established go-to-market team,VP Marketing / Product Marketing,3,"Senior leadership (Director, VP, C-level)",Marketing,6+,6+,Marketing,1,5+,"Product positioning and messaging, Managing product launches, Customer and market research, Customer marketing, Creating sales collateral, Content marketing, Website management, Product roadmap planning, Storytelling, Reporting on product marketing success, Demand generation","Sales, R&D, Top Management ",45000,45000,,2,Clear for everyone,,"Claude, Chat GPT, Gemeni, Perplexity, Notebook LM, gamma, Runway, midjourney, n8n","Learn how to automate repetitive tasks, Speed up content creation for launches, messaging, and campaigns, Improve collaboration with product, growth, and sales using shared AI workflows",Yes,Automate research and publishing workflows,
12/21/2025 15:47:24,Yes,Female,40-44,Computer Software,$10M–$50M,11 - 50,B2B,Mid-growth with established go-to-market team,VP Marketing / Product Marketing,3,"Senior leadership (Director, VP, C-level)",Founder ,6+,6+,Marketing,1,2,"Product positioning and messaging, Managing product launches, Customer and market research, Customer marketing, Creating sales collateral, Content marketing, Website management, Customers retention (PLG & SLG support), Storytelling, Reporting on product marketing success","Sales, R&D",50000,"540,000 ₪",,10,Clear for some,,"Chat GPT, Gemeni","Speed up content creation for launches, messaging, and campaigns",Yes,,
1/9/2026 1:54:44,Yes,Female,40-44,Computer & Network Security,$50M–$100M,"501 - 1,000",B2B,Late growth/scale up,VP Marketing / Product Marketing,1,"Senior leadership (Director, VP, C-level)","Marketing, Threat intelligence ",6+,4-5,Marketing,5-7,5+,"Product positioning and messaging, Customer and market research, Customer marketing, Upsell acceleration, Creating sales collateral, Content marketing, Storytelling","Product, Marketing, Customer Success, Sales enablement",48000,1250,"תקציב למשרד בבית, קורסים והכשרות, חדר כושר / Freefit",9,Clear for some,,"Chat GPT, Perplexity","Learn how to automate repetitive tasks, Discover AI tools for better customer insights, Speed up content creation for launches, messaging, and campaigns, Analyze data faster and reach better insights using AI tools",No,,Bring back the meetups!
1/9/2026 11:59:25,Yes,Male,35-39,Computer Software,$100M–$250M,"501 - 1,000",B2B,Late growth/scale up,VP Marketing / Product Marketing,7,"Senior leadership (Director, VP, C-level)",Marketing,4-5,6+,Marketing,5-7,4,"Product positioning and messaging, Managing product launches, Customer and market research, Customer marketing, Upsell acceleration, Creating sales collateral, Content marketing, Website management, Storytelling","Product, Marketing, Sales, Customer Success, Sales enablement",52000,Na,"קורסים והכשרות, ימי חופש ללא הגבלה, Cibus",9,Clear for some,,"Chat GPT, Gemini","Speed up content creation for launches, messaging, and campaigns",Yes,"Lead routing, internal reporting",
1/9/2026 17:28:02,Yes,Male,35-39,Computer Software,$10M–$50M,51 - 200,B2B,Late growth/scale up,VP Marketing / Product Marketing,1,"Senior leadership (Director, VP, C-level)","Marketing, Data Analysis",6+,1-3,Marketing,2-4,3,"Product positioning and messaging, Managing product launches, Customer and market research, Customer marketing, Upsell acceleration, Creating sales collateral, Content marketing, Website management, Onboarding customers, Customers retention (PLG & SLG support), Storytelling","Product, Marketing, Sales, Customer Success",40000,45000,"חדר כושר / Freefit, קייטרינג",8,Clear for everyone,,Gemini,Learn how to automate repetitive tasks,Yes,,
2/13/2026 13:06:56,Yes,Female,30-34,Information Technology & Services,$250M–$500M,"501 - 1,000",B2B,Public company,Product Marketing Manager,1,2-3 role as product marketing,Public relations ,4-5,1-3,Marketing,2-4,4,"Product positioning and messaging, Managing product launches, Upsell acceleration, Creating sales collateral, Content marketing, Storytelling","Product, Sales",27000,27000,"קורסים והכשרות, חדר כושר / Freefit",9,Clear for some,,"Chat GPT, Gemini, Canva","Speed up content creation for launches, messaging, and campaigns, Improve collaboration with product, growth, and sales using shared AI workflows",No,,
